Key,Participant_ID,Start_ms,End_ms,eye_mean_pupil,eye_fixation_count,eye_gaze_dispersion
1spl1,1,1680003250000.0,1680003260000.0,0.1882830047607422,1200.0,126.93181909724366
1spl2,1,1680003260000.0,1680003268000.0,0.2462573051452636,960.0,106.61766771337516
1Item1,1,1680003268000.0,1680003276000.0,0.2259022315343221,960.0,114.22237214226604
1Item2,1,1680003276000.0,1680003290000.0,0.2063498451596214,1680.0,128.7697641242545
1Item3,1,1680003291000.0,1680003307000.0,0.0378596226374308,1920.0,180.5142472299516
1Item4,1,1680003307000.0,1680003325000.0,0.1217184278700086,2160.0,130.45235902990018
1Item5,1,1680003325000.0,1680003351000.0,0.1975165418767272,3121.0,125.10899733380384
1Item6,1,1680003351000.0,1680003359000.0,0.1322579145431518,960.0,143.3645403512325
1Item7,1,1680003359000.0,1680003368000.0,0.0736008467497649,1080.0,164.72886053113825
1Item8,1,1680003368000.0,1680003385000.0,0.0999557831708122,2040.0,149.59179239461287
1Item9,1,1680003385000.0,1680003394000.0,0.1053164729365596,1080.0,157.42425791867828
1Item10,1,1680003394000.0,1680003416000.0,0.1083994316332268,2640.0,165.9527331063929
2spl1,1,1680003479000.0,1680003485000.0,0.0331492741902669,720.0,187.50399414552456
2spl2,1,1680003487000.0,1680003494000.0,0.2055304936000279,840.0,130.850081366089
2Item1,1,1680003495000.0,1680003500000.0,0.2803977711995443,600.0,123.77912511732504
2Item2,1,1680003501000.0,1680003504000.0,0.3000521553887261,360.0,135.8202540030094
2Item3,1,1680003505000.0,1680003511000.0,0.2440974447462293,720.0,169.80623217657703
2Item4,1,1680003512000.0,1680003523000.0,0.279490395748254,1320.0,109.9998373805127
2Item5,1,1680003524000.0,1680003531000.0,0.3409719921293713,840.0,99.24126156184568
2Item6,1,1680003532000.0,1680003545000.0,0.2322788959432305,1561.0,165.49847762728766
2Item7,1,1680003546000.0,1680003581000.0,0.2340494827997117,4200.0,116.57915899284126
2Item8,1,1680003582000.0,1680003590000.0,0.1826037406921386,960.0,133.2058393819442
2Item9,1,1680003591000.0,1680003610000.0,0.1990782821387575,2280.0,114.49600427638586
2Item10,1,1680003611000.0,1680003626000.0,0.2452668635050455,1800.0,128.95624184802097
3spl1,1,1680003673000.0,1680003677000.0,0.0513364473978678,480.0,186.5170135481579
3spl2,1,1680003677000.0,1680003680000.0,0.189167128668891,360.0,203.6680398738992
3Item15,1,1680003680000.0,1680003688000.0,0.2728485902150472,960.0,146.22114755650117
3Item2,1,1680003688000.0,1680003691000.0,0.2305001152886284,360.0,128.06053597050663
3Item5,1,1680003691000.0,1680003694000.0,0.2469456142849392,360.0,105.99129183855348
3Item12,1,1680003694000.0,1680003702000.0,0.2783988873163859,960.0,121.26693824960044
3Item6,1,1680003702000.0,1680003706000.0,0.2162277698516845,480.0,129.09669243179238
