Key,Participant_ID,Start_ms,End_ms,gsr_mean,gsr_max,gsr_std,gsr_peak_count
1spl1,1,1680003250000.0,1680003260000.0,18.24190017941968,20.10096039946785,1.3889324033928712,205.0
1spl2,1,1680003260000.0,1680003268000.0,18.08675686357589,18.82528748200389,0.3940905682904338,189.0
1Item1,1,1680003268000.0,1680003276000.0,17.447817004719987,17.950540338600035,0.236582565331655,188.0
1Item2,1,1680003276000.0,1680003290000.0,17.714931360986792,19.29910885134765,0.6615735059039444,329.0
1Item3,1,1680003291000.0,1680003307000.0,16.47079178853899,17.03934539755435,0.2994918817636162,392.0
1Item4,1,1680003307000.0,1680003325000.0,16.930777153103023,17.513166766898102,0.3740906411710187,418.0
1Item5,1,1680003325000.0,1680003351000.0,16.6847788564924,17.65895795746541,0.422727289731329,643.0
1Item6,1,1680003351000.0,1680003359000.0,16.158279443653257,16.41973283764328,0.1404506258673056,206.0
1Item7,1,1680003359000.0,1680003368000.0,17.238151143591274,18.387913910301965,0.7424255852220253,203.0
1Item8,1,1680003368000.0,1680003385000.0,16.924273536433322,17.65895795746541,0.3281076718492149,402.0
1Item9,1,1680003385000.0,1680003394000.0,17.466562942309206,18.53370510086928,0.6032911938441,184.0
1Item10,1,1680003394000.0,1680003416000.0,16.536404538250704,17.148688790479834,0.3817421111744873,550.0
2spl1,1,1680003479000.0,1680003485000.0,17.802945741378576,18.570152898511104,0.5743094873202472,115.0
2spl2,1,1680003487000.0,1680003494000.0,17.722416176573955,18.24212271973465,0.2983702408601611,163.0
2Item1,1,1680003495000.0,1680003500000.0,17.829180562389514,18.387913910301965,0.4008906053384237,107.0
2Item2,1,1680003501000.0,1680003504000.0,18.122528383722408,18.715944089078416,0.312336684019756,71.0
2Item3,1,1680003505000.0,1680003511000.0,18.299024945480166,18.570152898511104,0.1467687468472901,135.0
2Item4,1,1680003512000.0,1680003523000.0,18.024859675979076,18.715944089078416,0.3210242253230836,264.0
2Item5,1,1680003524000.0,1680003531000.0,18.561569767593216,19.153317660780345,0.4941817383322697,162.0
2Item6,1,1680003532000.0,1680003545000.0,18.2369096332931,18.971078672571203,0.3644560140787068,323.0
2Item7,1,1680003546000.0,1680003581000.0,18.2640158053271,19.772930220691407,0.6906764254968726,841.0
2Item8,1,1680003582000.0,1680003590000.0,18.54007634674612,19.189765458422173,0.3356506668246906,190.0
2Item9,1,1680003591000.0,1680003610000.0,18.393204236193235,19.00752647021304,0.3627028113570802,449.0
2Item10,1,1680003611000.0,1680003626000.0,19.751346290525397,21.157946531080853,1.0785739330225812,315.0
3spl1,1,1680003673000.0,1680003677000.0,19.361326380915926,19.91872141125872,0.3618510252620823,105.0
3spl2,1,1680003677000.0,1680003680000.0,19.36944171085961,19.70003462540776,0.132937750898203,63.0
3Item15,1,1680003680000.0,1680003688000.0,19.01030276729903,19.408452244273136,0.1965255348006094,203.0
3Item2,1,1680003688000.0,1680003691000.0,18.86230477648388,19.48134783955679,0.3172305512812489,65.0
3Item5,1,1680003691000.0,1680003694000.0,19.18653830967263,19.48134783955679,0.1375274017931541,65.0
3Item12,1,1680003694000.0,1680003702000.0,19.49747171878701,20.13740819710968,0.4471345949051954,190.0
3Item6,1,1680003702000.0,1680003706000.0,19.246715142237523,19.80937801833324,0.1533179813398067,93.0
3Item8,1,1680003706000.0,1680003718000.0,19.450808571610807,20.28319938767699,0.3789760755879318,309.0
3Item7,1,1680003718000.0,1680003724000.0,19.096984931872985,19.33555664898948,0.1914141397870389,137.0
3Item9,1,1680003724000.0,1680003746000.0,18.76611158327576,19.26266105370582,0.2301216808414729,544.0
3Item17,1,1680003746000.0,1680003757000.0,18.22594383228711,18.49725730322745,0.1422961054143932,304.0
3Item19,1,1680003757000.0,1680003770000.0,19.112204369810566,20.501886173527964,0.6232765038321028,316.0
3Item11,1,1680003770000.0,1680003781000.0,19.60034679251097,20.28319938767699,0.206751929674513,282.0
3Item4,1,1680003781000.0,1680003791000.0,18.92819556065824,19.29910885134765,0.1596258983670829,236.0
3Item13,1,1680003791000.0,1680003799000.0,18.75495462249193,19.00752647021304,0.1470546969168907,213.0
3Item10,1,1680003799000.0,1680003800000.0,18.61998387184953,18.679496291436585,0.0288810849053217,27.0
1spl1,2,1676984654007.919,1676984664808.1855,7.17608270667262,7.4204541103495805,0.1538391756201395,316.0
1spl2,2,1676984664889.7507,1676984669443.6345,7.134386004940209,7.348980868144632,0.1517539384821903,111.0
1Item1,2,1676984669462.2722,1676984676481.2295,7.179513331007552,7.425559341935649,0.1414676862524772,211.0
1Item2,2,1676984676498.954,1676984689318.5645,7.00535304998038,7.165192531046188,0.0835987121822262,372.0
1Item3,2,1676984689336.1667,1676984707070.324,6.947140668302926,7.384717489247105,0.192884340079885,491.0
1Item4,2,1676984707087.0603,1676984735440.7927,6.830469970506244,7.379612257661037,0.2233549327985337,838.0
1Item5,2,1676984735457.4868,1676984771942.877,6.605644937647712,7.063087899324834,0.2258097898579339,1104.0
1Item6,2,1676984771959.428,1676984799482.4983,6.556750972637575,6.930351878087071,0.1882029758508805,796.0
1Item7,2,1676984799499.7764,1676984812163.1746,6.279386034645294,6.450460108996694,0.1059696839159441,409.0
1Item8,2,1676984812184.3894,1676984838890.6438,6.351662902827587,6.797615856849305,0.1839857640341169,775.0
1Item9,2,1676984838906.125,1676984871741.6304,6.439150375164222,6.8946152569845935,0.2120203682807233,917.0
1Item10,2,1676984871757.6467,1676984878233.8572,7.001227765088341,7.369401794488899,0.2664875448962858,149.0
2spl1,2,1676984952067.1477,1676984968173.035,7.331602778667128,7.599137215861955,0.1373839567964093,490.0
2spl2,2,1676984969997.7676,1676984984446.8074,7.255546851365666,7.818662174062867,0.2794717535658079,415.0
2Item1,2,1676984986521.046,1676985004144.1555,7.07660454305869,7.6603999948947665,0.2397987264541096,525.0
2Item2,2,1676985006088.2969,1676985020712.943,7.092235717269219,7.49192735255453,0.2296618860996112,454.0
2Item3,2,1676985022225.292,1676985047466.8586,7.221563389004887,7.701241847583309,0.2049530939388816,745.0
2Item4,2,1676985048767.8345,1676985058980.2744,7.343559245006556,7.854398795165344,0.2594047838884055,244.0
2Item5,2,1676985060113.615,1676985075990.9988,7.458669267396692,7.890135416267821,0.2127011602739937,425.0
2Item6,2,1676985077349.2104,1676985093609.5308,7.229880866527483,7.777820321374326,0.259938837568365,482.0
2Item7,2,1676985094789.7078,1676985115649.2046,7.50379940608183,8.00755574274738,0.2517554252579833,575.0
2Item8,2,1676985117004.6912,1676985130546.154,7.803158050918561,8.21687023777616,0.1849236486294781,378.0
2Item9,2,1676985131816.083,1676985161356.12,7.660170455257202,8.303659174739312,0.2684065564010406,857.0
2Item10,2,1676985163532.0771,1676985183671.1926,7.367140283832854,7.946292963714565,0.2654233896207107,617.0
3spl1,2,1676985258687.4705,1676985269550.72,7.595207289389224,8.191344079845821,0.3395580590649422,272.0
3Item15,2,1676985270758.0256,1676985280945.8606,7.453892594227344,7.701241847583309,0.1521760389861973,299.0
